Country Name,Country Code,Labour Force (2024),Region,%Indoor Essential Workers,%Indoor Vital Workers,%Essential Workers,%Vital Workers,%Armed Forces (Indoor Essential),%Armed Forces (Essential),%Onsite Excluded Essential (ISCO 61+63),%Onsite Excluded Vital (ISCO 61+63),Indoor Essential Workers,Indoor Vital Workers,Essential Workers,Vital Workers,Armed Forces (Indoor Essential),Armed Forces (Essential),Indoor Essential CADR Requirement (L/s),Indoor Vital CADR Requirement (L/s),Scaled ECA Essential (L/s/person),Scaled ECA Vital (L/s/person)
Ecuador,ECU,8820000.0,South America,0.30710527164923757,0.155613772721757,0.588162900915861,0.3775979320667689,0.0015048586640843754,0.0015048586640843754,0.16522255202066616,0.16522255202066616,2708668.4959462755,1372513.4754058968,5187596.786077894,3330413.7608289015,13272.85341722419,13272.85341722419,350824063.5291411,192804373.8226261,129.51901055968108,140.4753958904539
Egypt,EGY,33700000.0,Northern Africa,0.28596058216259845,0.13975503269086287,0.4851290505473884,0.27849276532439926,0.0,0.0,0.13028610101169616,0.13028610101169616,9636871.618879568,4709744.601682079,16348849.00344699,9385206.191432254,0.0,0.0,1257092127.5157084,668900037.7570689,130.44608014212236,142.0246944002382
Eritrea,ERI,1710000.0,Eastern Africa,0.24708697442384334,0.1038627660030396,0.5149375303740453,0.29167670308891963,,,0.12121437604182494,0.12121437604182494,422518.7262647721,177605.32986519774,880543.1769396175,498767.16228205257,,,228474294.43777815,104374748.63244437,127.9762728358026,142.74702493688127
Spain,ESP,24400000.0,Southern Europe,0.26172171621648554,0.09711006677976268,0.3763865880092133,0.16431651996360075,0.001769326271692867,0.001769326271692867,0.01652364895881073,0.01652364895881073,6386009.875682247,2369485.6294262093,9183832.747424806,4009323.087111858,43171.56102930596,43171.56102930596,870310307.2937313,356367380.76825833,136.28389624135244,150.39862506132002
Estonia,EST,756000.0,Northern Europe,0.19335544429097976,0.08412717945677409,0.29845541715742196,0.14577372200955452,0.0011621843951881588,0.0011621843951881588,0.00865693822663164,0.00865693822663164,146176.7158839807,63600.14766932121,225632.29537101102,110204.93383922322,878.6114027622481,878.6114027622481,20461330.896141708,9588203.119192624,139.97667667114442,150.7575606434902
Ethiopia,ETH,54500000.0,Eastern Africa,0.2299436155028912,0.10825656269671365,0.8262729841143055,0.6372802072924436,0.0007550391439340811,0.0007550391439340811,0.4655045723728797,0.4655045723728797,12531927.04490757,5899982.666970894,45031877.63422965,34731771.297438174,41149.63334440742,41149.63334440742,1555405110.5529487,811338844.2095913,124.11539781385798,137.51546233374617
Finland,FIN,2900000.0,Northern Europe,0.24343715324225712,0.10708784004660643,0.3472197174275256,0.16652608604415267,0.001290094662641543,0.001290094662641543,0.01943785353518976,0.01943785353518976,705967.7444025456,310554.73613515863,1006937.1805398243,482925.64952804276,3741.274521660475,3741.274521660475,106323934.38107269,50199317.02744612,150.6073545485477,161.64402337628024
Fiji,FJI,388000.0,Melanesia,0.2871203953743687,0.1494670135535506,0.5566999999999999,0.36585023803251787,0.0,0.0,0.221277742267988,0.221277742267988,111402.71340525504,57993.20125877763,215999.59999999995,141949.89235661694,0.0,0.0,14211796.39465297,8331786.072120024,127.57136662330684,143.66832475658438
France,FRA,31700000.0,Western Europe,0.25902516942888903,0.11703042751888634,0.3701467074118042,0.17961432425110394,0.002626177410383877,0.002626177410383877,0.021651547808549255,0.021651547808549255,8211097.8708957825,3709864.552348697,11733650.624954194,5693774.078759994,83249.8239091689,83249.8239091689,1179766214.3367317,571382395.1316016,143.67947293849832,154.0170502370126
Faroe Islands,FRO,32200.0,Northern Europe,0.22539019502755317,0.09455923044015259,0.3205234818477116,0.15134433869307976,,,0.014162176638538741,0.014162176638538741,7257.564279887212,3044.8072201729133,10320.856115496314,4873.287705917168,,,8200121.259138008,3677108.1035532043,146.70116893561985,156.8017076242408
